Home,Away,Map,Score,Date
black swan,MyAnimeList,cp_granary_pro_rc8,0-5,"Feb 14, 11:00pm"
froyotech,Velocity eSports TF2,cp_granary_pro_rc8,5-0,"Feb 12, 11:00pm"
TFCrew,Hooligans For Hire,cp_granary_pro_rc8,4-2,"Feb 18, 11:00pm"
SVIFT NA,Ascent,cp_granary_pro_rc8,5-4,"Feb 25, 11:00pm"
Velocity eSports TF2,Running with Scizors,cp_granary_pro_rc8,2-3,"Feb 13, 11:00pm"
Hooligans For Hire,froyotech,cp_granary_pro_rc8,0-5,"Feb 13, 11:00pm"
Ascent,TFCrew,cp_granary_pro_rc8,5-1,"Feb 13, 11:00pm"
MyAnimeList,SVIFT NA,cp_granary_pro_rc8,2-5,"Feb 13, 11:00pm"
Running with Scizors,Hooligans For Hire,cp_process_final,5-2,"Feb 22, 11:00pm"
SVIFT NA,black swan,cp_process_final,5-1,"Feb 26, 11:00pm"
froyotech,Ascent,cp_process_final,5-1,"Feb 22, 11:00pm"
TFCrew,MyAnimeList,cp_process_final,1-5,"Feb 21, 11:00pm"
Running with Scizors,Ascent,cp_process_final,2-5,"Feb 21, 11:00pm"
TFCrew,black swan,cp_process_final,2-5,"Feb 22, 11:00pm"
froyotech,MyAnimeList,cp_process_final,5-1,"Feb 22, 11:00pm"
Velocity eSports TF2,Hooligans For Hire,cp_process_final,5-1,"Feb 25, 11:00pm"
MyAnimeList,Running with Scizors,cp_gullywash_final1,4-5,"Feb 27, 11:00pm"
black swan,froyotech,cp_gullywash_final1,3-5,"Feb 27, 11:00pm"
SVIFT NA,TFCrew,cp_gullywash_final1,5-2,"Feb 27, 11:00pm"
Ascent,Velocity eSports TF2,cp_gullywash_final1,5-3,"Mar 1, 11:00pm"
Running with Scizors,black swan,cp_gullywash_final1,4-1,"Feb 28, 11:00pm"
froyotech,SVIFT NA,cp_gullywash_final1,5-2,"Feb 28, 11:00pm"
Hooligans For Hire,Ascent,cp_gullywash_final1,0-5,"Feb 28, 11:00pm"
Velocity eSports TF2,MyAnimeList,cp_gullywash_final1,4-3,"Feb 28, 11:00pm"
TFCrew,Running with Scizors,cp_snakewater_final1,1-5,"Feb 8, 11:00pm"
black swan,Hooligans For Hire,cp_snakewater_final1,5-0,"Feb 11, 11:00pm"
SVIFT NA,Velocity eSports TF2,cp_snakewater_final1,3-4,"Feb 8, 11:00pm"
MyAnimeList,Ascent,cp_snakewater_final1,0-5,"Feb 7, 11:00pm"
Running with Scizors,froyotech,cp_snakewater_final1,2-5,"Feb 6, 11:00pm"
Ascent,black swan,cp_snakewater_final1,5-1,"Feb 8, 11:00pm"
Hooligans For Hire,SVIFT NA,cp_snakewater_final1,2-5,"Feb 7, 11:00pm"
Velocity eSports TF2,TFCrew,cp_snakewater_final1,5-0,"Feb 7, 11:00pm"
Ascent,Running with Scizors,cp_badlands,5-0,"Jan 24, 11:00pm"
black swan,TFCrew,cp_badlands,4-2,"Jan 25, 11:00pm"
MyAnimeList,froyotech,cp_badlands,1-5,"Jan 22, 11:00pm"
Hooligans For Hire,Velocity eSports TF2,cp_badlands,0-5,"Jan 24, 11:00pm"
Running with Scizors,MyAnimeList,cp_badlands,2-3,"Jan 25, 11:00pm"
froyotech,black swan,cp_badlands,5-0,"Jan 23, 11:00pm"
TFCrew,SVIFT NA,cp_badlands,0-5,"Jan 24, 11:00pm"
Velocity eSports TF2,Ascent,cp_badlands,3-5,"Jan 25, 11:00pm"
black swan,Running with Scizors,koth_product_rc8,1-4,"Feb 1, 11:00pm"
SVIFT NA,froyotech,koth_product_rc8,0-4,"Feb 1, 11:00pm"
Ascent,Hooligans For Hire,koth_product_rc8,4-0,"Jan 31, 11:00pm"
MyAnimeList,Velocity eSports TF2,koth_product_rc8,0-4,"Feb 1, 11:00pm"
Running with Scizors,SVIFT NA,koth_product_rc8,1-4,"Jan 31, 11:00pm"
Velocity eSports TF2,black swan,koth_product_rc8,4-3,"Jan 31, 11:00pm"
froyotech,TFCrew,koth_product_rc8,4-0,"Jan 31, 11:00pm"
Hooligans For Hire,MyAnimeList,koth_product_rc8,0-4,"Feb 4, 11:00pm"
froyotech,Running with Scizors,cp_sunshine,5-0,"Mar 14, 11:00pm"
black swan,Ascent,cp_sunshine,1-5,"Mar 15, 11:00pm"
SVIFT NA,Hooligans For Hire,cp_sunshine,5-0,"Mar 13, 11:00pm"
TFCrew,Velocity eSports TF2,cp_sunshine,0-5,"Mar 14, 11:00pm"
MyAnimeList,black swan,cp_sunshine,5-3,"Mar 18, 11:00pm"
Velocity eSports TF2,froyotech,cp_sunshine,0-5,"Mar 15, 11:00pm"
Hooligans For Hire,TFCrew,cp_sunshine,1-5,"Mar 18, 11:00pm"
Ascent,SVIFT NA,cp_sunshine,3-4,"Mar 14, 11:00pm"
Running with Scizors,Velocity eSports TF2,cp_badlands,,"Mar 19, 11:00pm"
froyotech,Hooligans For Hire,cp_badlands,,"Mar 19, 11:00pm"
TFCrew,Ascent,cp_badlands,,"Mar 19, 11:00pm"
SVIFT NA,MyAnimeList,cp_badlands,,"Mar 19, 11:00pm"
Hooligans For Hire,Running with Scizors,cp_badlands,,"Mar 21, 11:00pm"
black swan,SVIFT NA,cp_badlands,,"Mar 21, 11:00pm"
Ascent,froyotech,cp_badlands,,"Mar 21, 11:00pm"
MyAnimeList,TFCrew,cp_badlands,,"Mar 21, 11:00pm"
SVIFT NA,Running with Scizors,cp_metalworks,4-3,"Mar 12, 11:00pm"
black swan,Velocity eSports TF2,cp_metalworks,0-5,"Mar 8, 11:00pm"
TFCrew,froyotech,cp_metalworks,3-5,"Mar 8, 11:00pm"
MyAnimeList,Hooligans For Hire,cp_metalworks,5-1,"Mar 6, 11:00pm"
Running with Scizors,TFCrew,cp_metalworks,5-0,"Mar 7, 11:00pm"
Hooligans For Hire,black swan,cp_metalworks,2-4,"Mar 7, 11:00pm"
Velocity eSports TF2,SVIFT NA,cp_metalworks,3-4,"Mar 7, 11:00pm"
